	name
0	3-D Man
1	514A (Gotham)
2	A-Bomb
3	Aa
4	Aaron Cash
5	Aayla Secura
6	Abe Sapien
7	Abin Sur
8	Abomination
9	Abra Kadabra (CW)
10	Abra Kadabra
11	Abraxas
12	Absorbing Man (MCU)
13	Absorbing Man
14	Ace Morgan
15	Achilles Warkiller
16	Acidicus
17	A'dal
18	Adam Monroe
19	Adam Strange
20	Agent 13 (MCU)
21	Agent 13
22	Agent Bob
23	Agent Carter
24	Agent Coulson (Destroyer Gun)
25	Agent Coulson (MCU)
26	Agent May (MCU)
27	Agent Zero (FOX)
28	Agent Zero
29	A.I.M. Agent
30	Air-Walker
31	Ajax (FOX)
32	Ajax
33	Akita
34	Alex Danvers (CW)
35	Alex Mercer
36	Alfred (DCEU)
37	Alfred Pennyworth
38	Alien
39	Alita
40	All-father Hercules
41	Allan Quatermain
42	Altaïr Ibn-La'Ahad
43	Alucard
44	Amadeus Cho
45	Amanda Waller
46	A.M.A.Z.O. (CW)
47	Amazo
48	Ammo
49	Amygdala
50	Anacondrai Serpent
51	Ancalagon
52	Ancient One (MCU)
53	Ando Masahashi
54	Angel Dust
55	Angel Of Death
56	Angel Salvadore (FOX)
57	Angel Salvadore
58	Angel
59	Angela
60	Animal Man
61	Annabeth Chase (FOX)
62	Annihilus
63	Ant-Man II
64	Ant-Man (MCU)
65	Ant-Man
66	Anti-Monitor
67	Anti-Spawn
68	Anti-Venom
69	Apocalypse (FOX)
70	Aquababy
71	Aquagirl I
72	Aqualad II
73	Aqualad
74	Aquaman (Injustice)
75	Aquaman
76	Aracnido Jr.
77	Aragorn
78	Archangel (FOX)
79	Archangel
80	Arclight
81	Arcturus
82	Ardina
83	Ariel
84	Arizona Annie
85	Arkade
86	Arkillo
87	Armor
88	Arnim Zola (MCU)
89	Arno Victor Dorian
90	Arnold Flass
91	Arsenal (CW)
92	Arsenal
93	Artemis (CW)
94	Arthur Dayne
95	Ash
96	Aspheera
97	Asura
98	Atom (CW)
99	Atom Girl
100	Atom II
101	Atom III
102	Atom IV
103	Atom Smasher (CW)
104	Atomic Skull
105	Atomica
106	Attuma
107	Aurora
108	Avatar Korra
109	Azrael (Gotham)
110	Aztar
111	Balder
112	Bane (Dark Knight)
113	Bane (Injustice)
114	Bane
115	Banshee (FOX)
116	Banshee
117	Bantam
118	Barb Wire
119	Baron Mordo (MCU)
120	Baron Zemo (MCU)
121	Baron Zemo
122	Batcow
123	Batgirl III
124	Batgirl (Injustice)
125	Batgirl IV
126	Batgirl (New 52)
127	Batgirl VI
128	Batgirl
129	Bathound
130	Batman (1966)
131	Batman (Arkham)
132	Batman (Burtonverse)
133	Batman (DC One Million)
134	Batman (DCAU)
135	Batman (GAM)
136	Batman II
137	Batman (Injustice)
138	Batman (LEGO)
139	Batman (The Brave And The Bold)
140	Batroc The Leaper (MCU)
141	Battle-Suit Batman (DCEU)
142	Battlestar
143	Batwoman V
144	Batwoman
145	Beak
146	Beast Boy (Titans)
147	Beast Boy
148	Beast (FOX)
149	Beetle
150	Bekka
151	Ben 10
152	Beta Ray Bill
153	Beyonder
154	Big Barda
155	Big Boss
156	Big Daddy
157	Big Man
158	Bill Harken
159	Billy Kincaid
160	Binary
161	Bird-Brain
162	Bird-Man II
163	Bird-Man
164	Bird
165	Birdman
166	Bishop (Fox)
167	Bishop
168	Bizarro-Girl
169	Bizarro
170	Black Abbott
171	Black Adam (New 52)
172	Black Adam (Pre-Crisis)
173	Black Adam
174	Black Alice
175	Black Bolt (MCU)
176	Black Bolt
177	Black Canary (CW)
178	Black Canary II (CW)
179	Black Canary (Injustice)
180	Black Canary
181	Black Cat (earth 1610)
182	Black Cat (Earth 65)
183	Black Cat (Edge of Time)
184	Black Cat (PS4)
185	Black Cat
